273;Al Ahli;-1;16950.0;7850.0;11900.0
274;Al Batin;-1;3000.0;4900.0;9700.0
275;Al Faisaly;-1;22600.0;9900.0;11100.0
276;Al Fateh;5;11700.0;6500.0;8050.0
277;Al Fayha;5;7600.0;4250.0;6400.0
278;Al Hilal;-1;7800.0;5200.0;6350.0
279;Al Ittihad;5;4050.0;3200.0;3900.0
280;Al Nassr;-1;10150.0;6200.0;8600.0
281;Al Raed;-1;8350.0;3850.0;4150.0
282;Al Shabab;-1;7550.0;4250.0;4850.0
283;Al Taawoun;4;9550.0;3900.0;3650.0
284;Ettifaq;-1;8700.0;4700.0;7750.0
285;Ohod Club;-1;2000.0;2000.0;2000.0
286;Qadisiyah;-1;4650.0;5400.0;3550.0
