127;Albirex Niigata;4;26500.0;22750.0;26400.0
128;Cerezo Osaka;-1;6050.0;6900.0;3550.0
129;F.C. Tokyo;-1;5400.0;5050.0;5300.0
130;Gamba Osaka;-1;6650.0;4550.0;4950.0
131;Hokkaido Consadole Sapporo;-1;7500.0;2600.0;3850.0
132;Júbilo Iwata;4;5000.0;3150.0;2850.0
133;Kashima Antlers;-1;12200.0;6600.0;6050.0
134;Kashiwa Reysol;-1;11550.0;4250.0;6050.0
135;Kawasaki Frontale;-1;8700.0;6850.0;7300.0
136;Omiya Ardija;16;6850.0;4950.0;3550.0
137;Sagan Tosu;-1;6850.0;4500.0;4150.0
138;Sanfrecce Hiroshima;-1;7300.0;6900.0;3650.0
139;Shimizu S-Pulse;-1;5250.0;3550.0;3650.0
140;Urawa Red Diamonds;-1;15900.0;6250.0;7800.0
141;Vegalta Sendai;16;12200.0;4000.0;5950.0
142;Ventforet Kofu;4;3550.0;3000.0;2700.0
143;Vissel Kobe;-1;8700.0;6400.0;6150.0
144;Yokohama F·Marinos;-1;10850.0;5850.0;6750.0
