1;Bronze Pack;400.00;0
2;Premium Bronze Pack;750.00;0
3;Silver Pack;2500.00;50.00
4;Premium Silver Pack;3750.00;75.00
5;Gold Pack;5000.00;100.00
6;Premium Gold Pack;7500.00;150.00
7;Gold Contracts Pack;800.00;0
8;Bronze Players Pack;1250.00;0
9;Jumbo Premium Bronze Pack;1500.00;75.00
10;Prem Bronze Players Pack;1800.00;0
11;Consumables Pack;3000.00;50.00
12;Gold 13 Pack;5000.00;100.00
13;Silver Players Pack;5000.00;100.00
14;Prem Silver Players Pack;7000.00;150.00
15;Premium 13 Gold Pack;7500.00;150.00
16;Jumbo Premium Silver Pack;7500.00;150.00
17;Gold Players Pack;12500.00;250.00
18;Premium Electrum Players Pack;12500.00;250.00
19;Silver Upgrade Pack;15000.00;50.00
20;Jumbo Premium Gold Pack;15000.00;300.00
21;Rare Consumables Pack;20000.00;400.00
22;Prime Electrum Players Pack;20000.00;400.00
23;Premium Gold Players Pack;25000.00;350.00
24;Rare Gold Pack;25000.00;500.00
25;Gold Upgrade Pack;30000.00;75.00
26;League Premium Players Pack;30000.00;400.00
27;Rare Electrum Players Pack;30000.00;600.00
28;Mega Pack;35000.00;700.00
29;Prime Gold Players Pack;45000.00;600.00
30;Rare Players Pack;5000.00;1000.00
31;League Prime Players Pack;55000.00;750.00
32;Rare Mega Pack;55000.00;1100.00
33;Jumbo Rare Players Pack;100000.00;2000.00
34;Ultimate Pack;125000.00;2500.00
